from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9022005000126002,9022005000126017,1,,55700000063233037,55700000063075531
9022005000126002,9022005000126015,1,,55700000063233059,55700000063050641
9022005000126002,9022005000126016,1,,55700000063233059,55700000063062632
9022005000126002,9022005000126017,1,,55700000063233059,55700000063064802
9022005000126002,9022005000126015,1,,55700000063232907,55700000063050469
9022005000126002,9022005000126015,1,,55700000063232907,55700000063071702
9022005000126002,9022005000126015,1,,55700000063232931,55700000063061062
9022005000126002,9022005000126015,1,,55700000063232931,55700000063071918
9022005000126002,9022005000126015,1,,55700000063232979,55700000063539484
9022005000126002,9022005000126015,1,,55700000063232979,55700000064350800
9022005000126002,9022005000126017,1,,55700000063233048,55700000063059563
9022005000126002,9022005000126018,1,,55700000063233048,55700000063076828
9022005000126002,9022005000126017,1,,55700000063233071,55700000063064586
9022005000038001,9022005000038003,1,,55700000065065117,55700000065059607
9022005000038001,9022005000038003,1,,55700000065066415,55700000065059891
9022005000038003,9022005000038003,1,,55700000065066833,55700000065059212
9022005000038003,9022005000038003,1,,55700000065066909,55700000065059707
9022005000038001,9022005000038003,1,,55700000065065060,55700000065059302
9022005000038001,9022005000038003,1,,55700000065065060,55700000065059347
9022005000038001,9022005000038003,1,,55700000065065060,55700000065059985
9022005000038003,9022005000038002,1,,55700000065066757,55700000065352627
9022005000038001,9022005000038003,1,,55700000065065231,55700000065059657
9022005000038001,9022005000038003,1,,55700000065067194,55700000065059797
9022005000038001,9022005000038003,1,,55700000065066210,55700000065059846
9022005000038001,9022005000038002,1,,55700000065066324,55700000065352687
9022005000038003,9022005000038003,1,,55700000065066586,55700000065059940
9022005000038003,9022005000038003,1,,55700000065066871,55700000065059257
9022005000038002,9022005000038003,1,,55700000063224289,55700000065059257
9022005000038002,9022005000038003,1,,55700000063224346,55700000065059707
9022005000038002,9022005000038003,1,,55700000063222400,55700000065059752
9022005000038002,9022005000038003,1,,55700000063222457,55700000065059797
9022005000038002,9022005000038003,1,,55700000063222909,55700000065059846
9022005000038002,9022005000038003,1,,55700000063222343,55700000065059940
9022005000038002,9022005000038002,1,,55700000063223080,55700000065352479
9022005000038002,9022005000038002,1,,55700000063223080,55700000065352552
9022005000038002,9022005000038003,1,,55700000063224232,55700000065059212
9022005000038002,9022005000038003,1,,55700000065067431,55700000065059607
9022005000038002,9022005000038003,1,,55700000065067489,55700000065059657
9022005000038003,9022005000038002,1,,55700000065060098,55700000063222909
9022005000038003,9022005000038001,1,,55700000065060098,55700000065066210
9022005000038003,9022005000038001,1,,55700000065060098,55700000065354175
9022005000038003,9022005000038001,1,,55700000065060316,55700000065065117
9022005000038003,9022005000038002,1,,55700000065060316,55700000065355844
9022005000038003,9022005000038002,1,,55700000065060441,55700000063223888
9022005000038003,9022005000038001,1,,55700000065060441,55700000065354668
9022005000038003,9022005000038003,1,,55700000065060035,55700000063223367
9022005000038003,9022005000038001,1,,55700000065060035,55700000065065573
9022005000038003,9022005000038002,1,,55700000065060035,55700000065355082
9022005000038001,9022005000038001,1,,55700000065060066,55700000065066324
9022005000038001,9022005000038003,1,,55700000065060066,55700000065067373
