,vehicle,trips,routes,directions,computed,detected
0,9031005920505672,['55700000063262824'],['21'],[1],['C4'],['C4']
1,9031005920505670,['55700000064970024' '55700000065104181' nan],"['4', '4']","[1, 0]",['A6'],['A6' 'D1' 'A1' 'E1']
2,9031005920505757,['55700000065078108' '55700000065023550'],"['18', '14']","[1, 1]","['B5', 'A1']",['B5' 'A1']
3,9031005920505746,['55700000063302028'],['11'],[1],['B2'],['B2']
4,9031005920505731,['55700000063278864' '55700000063282160' nan '55700000065074574'],"['15', '15', '20']","[1, 0, 1]","['A1', 'D1']",['A1' 'C5' 'D1']
5,9031005920505511,['55700000065100883'],['5'],[0],['A4'],['A4']
6,9031005918308829,['55700000063171276' '55700000063168978'],"['521', '521']","[0, 1]",['C3'],['C3']
7,9031005920505507,['55700000065109999' '55700000065110231'],"['1', '1']","[0, 0]",['A3'],['A3']
8,9031005918308734,['55700000063584937' nan],['513'],[0],['C4'],['C5']
9,9031005920505506,['55700000065015753'],['13'],[0],['B4'],['B4']
10,9031005920505675,"['55700000063344737' nan '55700000063338106' '55700000063343993'
 '55700000063262866']","['3', '3', '3', '21']","[0, 1, 0, 1]","['A5', 'C4']",['A5' 'C4']
11,9031005918308824,['55700000063252214' nan],['30'],[0],['C1'],['C5']
12,9031005920505510,['55700000064404731'],['5'],[1],['B3'],['B3']
13,9031005918308830,['55700000065164051' nan],['39'],[0],['C1'],['B6' 'E2']
