trajectory_id,vehicle,trajectory_start_timestamp,trajectory_end_timestamp,stop_number,stop_start_timestamp,stop_end_timestamp,detected_berth,start_route,start_direction,start_assigned_berth,end_route,end_direction,end_assigned_berth,start_longitude,start_latitude
9031005918308832-1,9031005918308832,1647931572,1647931778,2,1647931627,1647931745,B4,243,1,B4,243,1,B4,15.6237363815308,58.4170799255371
9031005918308837-0,9031005918308837,1647932242,1647932348,0,1647932245,1647932255,-1,521,0,C3,-1,-1,-1,15.6246337890625,58.4164199829102
9031005918308837-0,9031005918308837,1647932242,1647932348,1,1647932274,1647932312,C3,-1,-1,-1,-1,-1,-1,15.6236162185669,58.4170303344727
9031005918308845-0,9031005918308845,1647931327,1647931415,0,1647931337,1647931365,C5,620,0,C2,-1,-1,-1,15.6242189407349,58.4167175292969
9031005918308845-0,9031005918308845,1647931327,1647931415,1,1647931397,1647931409,-1,-1,-1,-1,-1,-1,-1,15.6223926544189,58.417781829834
9031005918308845-1,9031005918308845,1647932646,1647932649,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0
9031005920505500-0,9031005920505500,1647932862,1647933137,0,1647932872,1647933010,C5,16,0,C5,16,0,C5,15.6242256164551,58.416675567627
9031005920505500-0,9031005920505500,1647932862,1647933137,1,1647933042,1647933049,-1,16,0,C5,16,0,C5,15.6231489181519,58.4171600341797
9031005920505500-0,9031005920505500,1647932862,1647933137,2,1647933085,1647933126,-1,16,0,C5,16,0,C5,15.6227350234985,58.4176559448242
9031005920505501-0,9031005920505501,1647931314,1647931420,0,1647931343,1647931374,A4,5,0,A4,5,0,A4,15.6238965988159,58.417179107666
9031005920505501-0,9031005920505501,1647931314,1647931420,1,1647931408,1647931414,-1,5,0,A4,5,0,A4,15.6226053237915,58.4177703857422
9031005920505501-1,9031005920505501,1647934048,1647934221,0,1647934080,1647934119,-1,5,1,B3,5,1,B3,15.6237850189209,58.4170341491699
9031005920505501-1,9031005920505501,1647934048,1647934221,1,1647934131,1647934152,B3,5,1,B3,5,1,B3,15.6234731674194,58.4172286987305
9031005920505501-1,9031005920505501,1647934048,1647934221,2,1647934194,1647934215,-1,5,1,B3,5,1,B3,15.6224927902222,58.4177436828613
9031005920505502-0,9031005920505502,1647930436,1647930587,0,1647930458,1647930497,B3,5,1,B3,5,1,B3,15.6234588623047,58.4172286987305
9031005920505502-0,9031005920505502,1647930436,1647930587,1,1647930525,1647930584,-1,5,1,B3,5,1,B3,15.6222400665283,58.4177398681641
9031005920505502-1,9031005920505502,1647933089,1647933165,0,1647933111,1647933125,A4,5,0,A4,5,0,A4,15.6239976882935,58.4171752929688
9031005920505503-0,9031005920505503,1647930199,1647930681,0,1647930231,1647930611,A3,1,0,A3,1,0,A3,15.6236457824707,58.4173583984375
9031005920505503-0,9031005920505503,1647930199,1647930681,1,1647930630,1647930673,-1,1,0,A3,1,0,A3,15.6225385665894,58.4177856445313
9031005920505503-1,9031005920505503,1647933248,1647933595,0,1647933280,1647933559,B3,5,1,B3,5,1,B3,15.6234931945801,58.4172592163086
9031005920505504-0,9031005920505504,1647930448,1647930675,0,1647930499,1647930605,A1,14,1,A1,14,1,A1,15.6229124069214,58.4177017211914
9031005920505504-0,9031005920505504,1647930448,1647930675,1,1647930625,1647930675,-1,14,1,A1,14,1,A1,15.6221551895142,58.4176979064941
9031005920505504-1,9031005920505504,1647933986,1647934298,0,1647933997,1647934252,C5,16,0,C5,16,0,C5,15.6242418289185,58.4166793823242
9031005920505505-0,9031005920505505,1647931622,1647931888,0,1647931640,1647931669,-1,16,1,C4,16,1,C4,15.6241111755371,58.4167442321777
9031005920505505-0,9031005920505505,1647931622,1647931888,1,1647931676,1647931818,C4,16,1,C4,16,1,C4,15.6239461898804,58.4168281555176
9031005920505506-0,9031005920505506,1647929823,1647930178,0,1647929831,1647929841,-1,13,0,B4,13,0,B4,15.6246700286865,58.4165725708008
9031005920505506-0,9031005920505506,1647929823,1647930178,1,1647929863,1647930141,B4,13,0,B4,13,0,B4,15.6237936019897,58.417121887207
9031005920505506-1,9031005920505506,1647932876,1647933053,0,1647932908,1647933017,B2,13,1,B2,13,1,B2,15.6231689453125,58.4174385070801
9031005920505507-0,9031005920505507,1647929759,1647929792,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0
9031005920505507-1,9031005920505507,1647930010,1647930064,0,1647930038,1647930050,-1,1,0,A3,1,0,A3,15.6228790283203,58.4177284240723
9031005920505507-2,9031005920505507,1647932056,1647932175,0,1647932094,1647932147,A2,1,1,A2,1,1,A2,15.6233320236206,58.4174880981445
9031005920505507-3,9031005920505507,1647934682,1647934729,0,1647934710,1647934729,A3,1,0,A3,1,0,A3,15.6236324310303,58.4173316955566
9031005920505508-0,9031005920505508,1647931425,1647931667,0,1647931456,1647931607,B3,5,1,B3,5,1,B3,15.6234569549561,58.4172477722168
9031005920505508-0,9031005920505508,1647931425,1647931667,1,1647931629,1647931654,-1,5,1,B3,5,1,B3,15.622899055481,58.4175033569336
9031005920505508-1,9031005920505508,1647934060,1647934275,0,1647934085,1647934210,A4,5,0,A4,5,0,A4,15.6238698959351,58.4171562194824
9031005920505508-1,9031005920505508,1647934060,1647934275,1,1647934254,1647934273,-1,5,0,A4,5,0,A4,15.6221389770508,58.4177436828613
9031005920505509-0,9031005920505509,1647931806,1647932066,0,1647931831,1647932017,A4,5,0,A4,5,0,A4,15.623927116394,58.417121887207
9031005920505509-0,9031005920505509,1647931806,1647932066,1,1647932041,1647932058,-1,5,0,A4,5,0,A4,15.6228723526001,58.4176788330078
9031005920505509-1,9031005920505509,1647934519,1647934712,0,1647934551,1647934690,B3,5,1,B3,5,1,B3,15.6234703063965,58.4172897338867
9031005920505510-0,9031005920505510,1647929938,1647930056,0,1647929973,1647930003,B3,5,1,B3,5,1,B3,15.6234569549561,58.4172630310059
9031005920505510-0,9031005920505510,1647929938,1647930056,1,1647930035,1647930048,-1,5,1,B3,5,1,B3,15.6224937438965,58.4177703857422
9031005920505510-1,9031005920505510,1647932813,1647933062,0,1647932837,1647933005,A4,5,0,A4,5,0,A4,15.623911857605,58.4171752929688
9031005920505510-1,9031005920505510,1647932813,1647933062,1,1647933036,1647933046,-1,5,0,A4,5,0,A4,15.6229000091553,58.4176330566406
9031005920505511-0,9031005920505511,1647929759,1647929934,0,1647929767,1647929875,A4,5,0,A4,5,0,A4,15.6239833831787,58.4172134399414
9031005920505511-0,9031005920505511,1647929759,1647929934,1,1647929886,1647929901,-1,5,0,A4,5,0,A4,15.6237277984619,58.4172554016113
9031005920505511-1,9031005920505511,1647932613,1647932844,0,1647932639,1647932799,B3,5,1,B3,5,1,B3,15.6234703063965,58.4172515869141
9031005920505513-0,9031005920505513,1647930835,1647930911,0,1647930869,1647930911,B3,5,1,B3,5,1,B3,15.6233949661255,58.4172515869141
9031005920505513-1,9031005920505513,1647930962,1647931032,0,1647930981,1647931027,-1,5,1,B3,5,1,B3,15.6225252151489,58.4177589416504
9031005920505513-2,9031005920505513,1647933438,1647933804,0,1647933467,1647933755,A4,5,0,A4,5,0,A4,15.6239004135132,58.4171829223633
9031005920505513-2,9031005920505513,1647933438,1647933804,1,1647933774,1647933781,A1,5,0,A4,5,0,A4,15.6229639053345,58.4176254272461
9031005920505514-0,9031005920505514,1647932331,1647932539,0,1647932363,1647932508,A3,1,0,A3,1,0,A3,15.6236400604248,58.417350769043
9031005920505514-1,9031005920505514,1647934560,1647934728,0,1647934600,1647934728,A2,1,1,A2,1,1,A2,15.6233205795288,58.4175148010254
9031005920505515-0,9031005920505515,1647931981,1647932251,0,1647932022,1647932183,B3,5,1,B3,5,1,B3,15.6234378814697,58.4172439575195
9031005920505515-0,9031005920505515,1647931981,1647932251,1,1647932206,1647932233,-1,5,1,B3,5,1,B3,15.6227502822876,58.4176979064941
9031005920505515-1,9031005920505515,1647934688,1647934730,0,1647934711,1647934730,A4,5,0,A4,5,0,A4,15.6239223480225,58.4171524047852
9031005920505516-0,9031005920505516,1647929906,1647930270,0,1647929915,1647930134,D1,4,0,A6,20,1,D1,15.6248760223389,58.4165687561035
9031005920505516-0,9031005920505516,1647929906,1647930270,1,1647930156,1647930161,-1,20,1,D1,20,1,D1,15.6241617202759,58.4170227050781
9031005920505516-0,9031005920505516,1647929906,1647930270,2,1647930205,1647930260,E2,20,1,D1,20,1,D1,15.6222944259644,58.4177856445313
9031005920505516-1,9031005920505516,1647932994,1647933153,0,1647933017,1647933068,A5,3,0,A5,3,1,A5,15.6242589950562,58.4170112609863
9031005920505516-1,9031005920505516,1647932994,1647933153,1,1647933099,1647933136,B1,3,1,A5,3,1,A5,15.6229934692383,58.4175834655762
9031005920505517-0,9031005920505517,1647930442,1647930588,0,1647930469,1647930494,A4,5,0,A4,5,0,A4,15.6239576339722,58.4171867370606
9031005920505517-0,9031005920505517,1647930442,1647930588,1,1647930515,1647930529,-1,5,0,A4,5,0,A4,15.6230897903442,58.4175605773926
9031005920505517-0,9031005920505517,1647930442,1647930588,2,1647930533,1647930545,-1,5,0,A4,5,0,A4,15.6230087280273,58.4175605773926
9031005920505517-0,9031005920505517,1647930442,1647930588,3,1647930558,1647930577,-1,5,0,A4,5,0,A4,15.6225500106812,58.4178085327148
9031005920505517-1,9031005920505517,1647932820,1647933252,0,1647932855,1647933219,A2,1,1,A2,1,1,A2,15.6233205795288,58.4175148010254
9031005920505517-1,9031005920505517,1647932820,1647933252,1,1647933243,1647933251,-1,1,1,A2,1,1,A2,15.6221551895142,58.4176940917969
9031005920505646-0,9031005920505646,1647932545,1647932927,0,1647932571,1647932893,A6,2,0,A6,4,1,A6,15.6246023178101,58.4168548583984
9031005920505647-0,9031005920505647,1647931503,1647931734,0,1647931529,1647931629,B5,14,0,B5,14,0,B5,15.6241464614868,58.4169502258301
9031005920505647-0,9031005920505647,1647931503,1647931734,1,1647931637,1647931645,-1,14,0,B5,14,0,B5,15.6238975524902,58.4169616699219
9031005920505647-0,9031005920505647,1647931503,1647931734,2,1647931693,1647931734,-1,14,0,B5,14,0,B5,15.6221189498901,58.4177436828613
9031005920505647-1,9031005920505647,1647933788,1647934152,0,1647933800,1647933827,D1,18,0,B5,-1,-1,-1,15.6249017715454,58.4165458679199
9031005920505647-1,9031005920505647,1647933788,1647934152,1,1647933842,1647934036,A6,-1,-1,-1,2,1,A6,15.6246166229248,58.4168815612793
9031005920505647-1,9031005920505647,1647933788,1647934152,2,1647934088,1647934149,-1,2,1,A6,2,1,A6,15.622184753418,58.4177284240723
9031005920505648-0,9031005920505648,1647932065,1647932140,0,1647932097,1647932140,A5,14,0,B5,3,1,A5,15.6242227554321,58.4170265197754
9031005920505648-1,9031005920505648,1647932212,1647932382,0,1647932212,1647932342,A5,3,1,A5,3,1,A5,15.624303817749,58.4170761108398
9031005920505648-1,9031005920505648,1647932212,1647932382,1,1647932376,1647932382,-1,3,1,A5,3,1,A5,15.6222190856934,58.4176788330078
9031005920505649-0,9031005920505649,1647930122,1647930351,0,1647930155,1647930309,A2,1,1,A2,1,1,A2,15.6233539581299,58.4175224304199
9031005920505649-0,9031005920505649,1647930122,1647930351,1,1647930334,1647930339,-1,1,1,A2,1,1,A2,15.6228046417236,58.4177398681641
9031005920505649-1,9031005920505649,1647933076,1647933160,0,1647933102,1647933122,A3,1,0,A3,1,0,A3,15.623703956604,58.4173469543457
9031005920505650-0,9031005920505650,1647931102,1647931246,0,1647931130,1647931211,B2,13,1,B2,13,1,B2,15.623140335083,58.4174423217773
9031005920505650-0,9031005920505650,1647931102,1647931246,1,1647931227,1647931236,-1,13,1,B2,13,1,B2,15.6227207183838,58.4177131652832
9031005920505650-1,9031005920505650,1647933372,1647933782,0,1647933395,1647933714,B4,13,0,B4,13,0,B4,15.6237707138062,58.4170951843262
9031005920505650-1,9031005920505650,1647933372,1647933782,1,1647933746,1647933776,-1,13,0,B4,13,0,B4,15.6224813461304,58.4177665710449
9031005920505651-0,9031005920505651,1647931814,1647931911,0,1647931845,1647931882,A3,1,0,A3,1,0,A3,15.6236200332642,58.4173469543457
