id,latitude,longitude,bearing,speed,timestamp,vehicle.id,trip_id,schedule_relationship,source,route_id,direction_id,route_short_name,route_type,start_time,start_date,rsn_dir,trajectory_id,is_stopped,cluster,berths
797472884,58.4169006347656,15.6236915588379,314,6.09999990463257,1647931529,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-30Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797472884,58.4169006347656,15.6236915588379,314,6.09999990463257,1647931529,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-31Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797473779,58.4169502258301,15.6235361099243,312,6.09999990463257,1647931531,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-32Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797475513,58.417121887207,15.6231536865234,315,6.69999980926514,1647931536,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-37Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797476257,58.4172134399414,15.6229944229126,316,6.09999990463257,1647931538,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-39Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797476630,58.4172744750977,15.6229372024536,317,5.80000019073486,1647931539,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-40Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797477003,58.4173202514648,15.6228647232056,318,5.80000019073486,1647931540,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-41Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797477438,58.417366027832,15.6228103637695,321,5.59999990463257,1647931541,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-42Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797477794,58.417407989502,15.6227579116821,325,5.0,1647931542,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-43Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797477794,58.417407989502,15.6227579116821,325,5.0,1647931542,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-44Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797478524,58.4174957275391,15.6226968765259,348,4.69999980926514,1647931544,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-46Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797478909,58.4175300598145,15.6227054595947,2,4.40000009536743,1647931545,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-47Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797479368,58.4175682067871,15.6227216720581,13,4.19999980926514,1647931546,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-48Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797479580,58.4175987243652,15.6227445602417,19,3.90000009536743,1647931547,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-49Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797480349,58.4176635742188,15.6227703094482,3,3.59999990463257,1647931549,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-50Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797480731,58.4176940917969,15.6227436065674,338,3.90000009536743,1647931550,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-51Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797481092,58.4177207946777,15.622709274292,321,3.90000009536743,1647931551,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-52Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797481449,58.4177474975586,15.6226606369019,316,3.90000009536743,1647931552,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-53Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797481830,58.4177551269531,15.6225900650024,296,4.19999980926514,1647931553,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-54Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
797482209,58.4177665710449,15.622504234314,285,4.40000009536743,1647931554,9031005917108310,,,otraf-vehiclepositions-2022-03-22T07-45-55Z.pb,-1,-1,-1,-1,,,-1_-1,9031005917108310-0,false,,
