,index,vehicle,timestart,timestop,detected_berth,computed_berths_for_vehicle,route,status,remarks
170,381,9031005920505650,2022-03-22 07:38:50,2022-03-22 07:40:07,B2,"['B2', 'B4']","['13', '13']",confirmed,{}
171,385,9031005920505662,2022-03-22 07:39:14,2022-03-22 07:45:34,A6,['A6'],"['2', '4', '4', '4']",confirmed,{}
172,370,9031005918308726,2022-03-22 07:39:22,2022-03-22 07:39:36,-1,['C1'],"['540', '539']",unclear,{}
173,75,9031005920505747,2022-03-22 07:39:30,2022-03-22 07:40:22,A5,"['B5', 'E1']","['14', '18', '6', '6', '6']",unclear,{}
174,27,9031005920505688,2022-03-22 07:39:36,2022-03-22 07:40:12,B3,['B2'],"['11', '11', '11', '11']",unclear,{}
175,239,9031005920505736,2022-03-22 07:40:16,2022-03-22 07:40:31,-1,"['E1', 'A1', 'C4']","['6', '15', '15', '21']",regular_stop,{}
176,362,9031005920505756,2022-03-22 07:40:24,2022-03-22 07:40:33,-1,"['B1', 'E2']","['10', '10']",unclear,{'vehicle_infront': [{'vehicle': '9031005920505736'}]}
177,28,9031005920505688,2022-03-22 07:40:26,2022-03-22 07:47:54,B2,['B2'],"['11', '11', '11', '11']",confirmed,{}
178,382,9031005920505650,2022-03-22 07:40:27,2022-03-22 07:40:34,-1,"['B2', 'B4']","['13', '13']",unclear,{}
179,388,9031005920505681,2022-03-22 07:40:38,2022-03-22 07:41:09,C5,"['B6', 'C5']","['12', '17']",confirmed,{}
180,390,9031005920505656,2022-03-22 07:40:59,2022-03-22 07:41:33,A3,"['A3', 'A2']","['1', '1']",confirmed,{}
181,76,9031005920505747,2022-03-22 07:41:05,2022-03-22 07:53:03,E2,"['B5', 'E1']","['14', '18', '6', '6', '6']",unclear,{}
182,393,9031005920505755,2022-03-22 07:41:23,2022-03-22 07:42:07,E2,"['E2', 'B1']","['10', '10']",confirmed,{}
183,377,9031005918308719,2022-03-22 07:42:01,2022-03-22 07:42:55,B6,"['C1', 'B6']","['540', '240', '566']",confirmed,{}
184,389,9031005920505681,2022-03-22 07:42:03,2022-03-22 07:42:14,-1,"['B6', 'C5']","['12', '17']",regular_stop,{}
185,397,9031005917108316,2022-03-22 07:42:05,2022-03-22 07:42:27,C1,"['C1', 'C2']","['65', '620']",confirmed,{}
186,403,9031005918308724,2022-03-22 07:42:13,2022-03-22 07:42:28,-1,['C1'],['39'],unclear,{}
187,406,9031005918308845,2022-03-22 07:42:18,2022-03-22 07:42:42,C5,['C2'],['620'],unclear,{}
188,408,9031005920505501,2022-03-22 07:42:23,2022-03-22 07:42:52,A4,"['A4', 'B3']","['5', '5']",confirmed,{}
189,413,9031005920505652,2022-03-22 07:42:25,2022-03-22 07:47:59,D1,"['A6', 'A5', 'C5']","['4', '3', '17']",unclear,{}
190,394,9031005920505755,2022-03-22 07:42:39,2022-03-22 07:42:45,-1,"['E2', 'B1']","['10', '10']",unclear,{}
191,65,9031005920505666,2022-03-22 07:42:42,2022-03-22 07:45:00,A2,"['A6', 'D1', 'A2', 'A3']","['2', '23', '1', '1']",confirmed,{}
192,404,9031005918308724,2022-03-22 07:42:42,2022-03-22 07:50:01,C1,['C1'],['39'],confirmed,{}
193,398,9031005917108316,2022-03-22 07:42:50,2022-03-22 07:43:26,-1,"['C1', 'C2']","['65', '620']",regular_stop,{}
