,trip_id,schedule_relationship,latitude,longitude,bearing,speed,timestamp,vehicle.id,source,route_id,direction_id,route_short_name,route_type,assigned_berth
149,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928814,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-16Z.pb,9011005020200000,1,2,700,A6
152,55700000063338064,0.0,58.417057037353516,15.624246597290039,322.0,0.0,1647928813,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-16Z.pb,9011005020300000,1,3,700,
154,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928814,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-16Z.pb,9011005021100000,1,11,700,B2
155,55700000063476178,0.0,58.41746139526367,15.62294864654541,0.0,0.0,1647928816,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-17Z.pb,9011005053000000,1,530,700,
157,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928815,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-17Z.pb,9011005020200000,1,2,700,A6
160,55700000063338064,0.0,58.417057037353516,15.624245643615723,322.0,0.0,1647928814,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-17Z.pb,9011005020300000,1,3,700,
162,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928815,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-17Z.pb,9011005021100000,1,11,700,B2
163,55700000063476178,0.0,58.41746139526367,15.622947692871094,0.0,0.0,1647928817,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-18Z.pb,9011005053000000,1,530,700,
165,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928816,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-18Z.pb,9011005020200000,1,2,700,A6
168,55700000063338064,0.0,58.417057037353516,15.62424373626709,322.0,0.0,1647928816,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-18Z.pb,9011005020300000,1,3,700,
170,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928816,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-18Z.pb,9011005021100000,1,11,700,B2
171,55700000063476178,0.0,58.41746139526367,15.622945785522461,0.0,0.0,1647928818,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-19Z.pb,9011005053000000,1,530,700,
173,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928817,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-19Z.pb,9011005020200000,1,2,700,A6
176,55700000063338064,0.0,58.417057037353516,15.624242782592773,322.0,0.0,1647928817,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-19Z.pb,9011005020300000,1,3,700,
178,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928817,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-19Z.pb,9011005021100000,1,11,700,B2
179,55700000063476178,0.0,58.41746139526367,15.622945785522461,0.0,0.0,1647928819,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-20Z.pb,9011005053000000,1,530,700,
181,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928818,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-20Z.pb,9011005020200000,1,2,700,A6
184,55700000063338064,0.0,58.417057037353516,15.624242782592773,322.0,0.0,1647928818,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-20Z.pb,9011005020300000,1,3,700,
186,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928818,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-20Z.pb,9011005021100000,1,11,700,B2
187,55700000063476178,0.0,58.41746139526367,15.622945785522461,0.0,0.0,1647928819,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-21Z.pb,9011005053000000,1,530,700,
189,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928818,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-21Z.pb,9011005020200000,1,2,700,A6
192,55700000063338064,0.0,58.417057037353516,15.624242782592773,322.0,0.0,1647928818,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-21Z.pb,9011005020300000,1,3,700,
194,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928818,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-21Z.pb,9011005021100000,1,11,700,B2
195,55700000063476178,0.0,58.41746139526367,15.622943878173828,0.0,0.0,1647928822,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-22Z.pb,9011005053000000,1,530,700,
197,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928821,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-22Z.pb,9011005020200000,1,2,700,A6
201,55700000063338064,0.0,58.417057037353516,15.624241828918457,322.0,0.0,1647928820,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-22Z.pb,9011005020300000,1,3,700,
203,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928820,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-22Z.pb,9011005021100000,1,11,700,B2
204,55700000063476178,0.0,58.41746139526367,15.622943878173828,0.0,0.0,1647928822,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-23Z.pb,9011005053000000,1,530,700,
206,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928821,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-23Z.pb,9011005020200000,1,2,700,A6
210,55700000063338064,0.0,58.417057037353516,15.624241828918457,322.0,0.0,1647928820,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-23Z.pb,9011005020300000,1,3,700,
212,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928820,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-23Z.pb,9011005021100000,1,11,700,B2
213,55700000063476178,0.0,58.41746139526367,15.622941970825195,0.0,0.0,1647928823,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-24Z.pb,9011005053000000,1,530,700,
215,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928822,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-24Z.pb,9011005020200000,1,2,700,A6
219,55700000063338064,0.0,58.417057037353516,15.62424087524414,322.0,0.0,1647928821,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-24Z.pb,9011005020300000,1,3,700,
221,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928822,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-24Z.pb,9011005021100000,1,11,700,B2
222,55700000063476178,0.0,58.41746139526367,15.622941970825195,0.0,0.0,1647928824,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-25Z.pb,9011005053000000,1,530,700,
224,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928823,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-25Z.pb,9011005020200000,1,2,700,A6
230,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928823,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-25Z.pb,9011005021100000,1,11,700,B2
231,55700000063476178,0.0,58.41746520996094,15.622941017150879,0.0,0.0,1647928825,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-26Z.pb,9011005053000000,1,530,700,
233,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928824,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-26Z.pb,9011005020200000,1,2,700,A6
239,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928824,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-26Z.pb,9011005021100000,1,11,700,B2
240,55700000063476178,0.0,58.41746520996094,15.622941017150879,0.0,0.0,1647928826,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-27Z.pb,9011005053000000,1,530,700,
242,55700000064973587,0.0,58.4168586730957,15.624652862548828,306.0,0.0,1647928825,9031005920505682,otraf-vehiclepositions-2022-03-22T07-00-27Z.pb,9011005020200000,1,2,700,A6
246,55700000063338064,0.0,58.41706848144531,15.624217987060547,322.0,0.0,1647928825,9031005920505664,otraf-vehiclepositions-2022-03-22T07-00-27Z.pb,9011005020300000,1,3,700,
248,55700000063302008,0.0,58.417457580566406,15.623205184936523,323.0,0.0,1647928825,9031005920505688,otraf-vehiclepositions-2022-03-22T07-00-27Z.pb,9011005021100000,1,11,700,B2
249,55700000063476178,0.0,58.41746139526367,15.62293815612793,0.0,0.0,1647928827,9031005918308827,otraf-vehiclepositions-2022-03-22T07-00-28Z.pb,9011005053000000,1,530,700,C1
