trajectory_id,vehicle,trajectory_start_timestamp,trajectory_end_timestamp,stop_number,stop_start_timestamp,stop_end_timestamp,detected_berth,start_route,start_direction,start_assigned_berth,end_route,end_direction,end_assigned_berth,start_longitude,start_latitude,remarks
9031005918308732-0,9031005918308732,1647932734,1647932835,2,1647932813,1647932824,-1,-1,-1,-1,-1,-1,-1,15.622386932373,58.4177551269531,{}
9031005918308732-1,9031005918308732,1647933450,1647933460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1
9031005918308732-2,9031005918308732,1647933527,1647933700,0,1647933555,1647933566,C3,521,1,C3,521,1,C3,15.6236333847046,58.4169921875,{}
9031005918308732-2,9031005918308732,1647933527,1647933700,1,1647933573,1647933580,C3,521,1,C3,521,1,C3,15.6236743927002,58.4170455932617,{}
9031005918308732-2,9031005918308732,1647933527,1647933700,2,1647933582,1647933620,C3,521,1,C3,521,1,C3,15.6236600875855,58.4170417785645,{}
9031005918308732-2,9031005918308732,1647933527,1647933700,3,1647933653,1647933698,-1,521,1,C3,521,1,C3,15.6221761703491,58.417724609375,{'zone': True}
9031005918308733-0,9031005918308733,1647930410,1647930814,0,1647930444,1647930760,C2,539,0,C1,520,1,C2,15.6233186721802,58.4172058105469,{}
9031005918308733-0,9031005918308733,1647930410,1647930814,1,1647930795,1647930803,E2,520,1,C2,520,1,C2,15.6223440170288,58.4177551269531,{}
9031005918308734-0,9031005918308734,1647929797,1647929890,0,1647929806,1647929835,C5,513,0,C4,-1,-1,-1,15.6242589950562,58.4166717529297,{}
9031005918308742-0,9031005918308742,1647930129,1647930275,0,1647930147,1647930172,C4,617,0,C2,-1,-1,-1,15.6239738464355,58.4168548583984,{}
9031005918308742-0,9031005918308742,1647930129,1647930275,1,1647930209,1647930261,-1,-1,-1,-1,-1,-1,-1,15.622631072998,58.4177856445313,{}
9031005918308742-1,9031005918308742,1647933712,1647933832,0,1647933736,1647933764,C3,522,0,C3,-1,-1,-1,15.6236371994019,58.4170150756836,{}
9031005918308742-1,9031005918308742,1647933712,1647933832,1,1647933812,1647933830,-1,-1,-1,-1,-1,-1,-1,15.6221971511841,58.4177055358887,{'zone': True}
9031005918308744-0,9031005918308744,1647933265,1647933454,0,1647933297,1647933336,-1,543,1,C1,543,1,C1,15.6230487823486,58.4173469543457,{}
9031005918308744-0,9031005918308744,1647933265,1647933454,1,1647933338,1647933362,-1,543,1,C1,543,1,C1,15.6230602264404,58.417366027832,{}
9031005918308744-0,9031005918308744,1647933265,1647933454,2,1647933364,1647933376,-1,543,1,C1,543,1,C1,15.6230640411377,58.417350769043,{}
9031005918308744-0,9031005918308744,1647933265,1647933454,3,1647933387,1647933390,-1,543,1,C1,543,1,C1,15.6230659484863,58.417366027832,{}
9031005918308744-0,9031005918308744,1647933265,1647933454,4,1647933417,1647933448,-1,543,1,C1,543,1,C1,15.6224536895752,58.4177703857422,{}
9031005918308822-0,9031005918308822,1647931665,1647931771,0,1647931701,1647931741,-1,30,0,C1,-1,-1,-1,15.6232452392578,58.417106628418,{}
9031005918308822-1,9031005918308822,1647932349,1647932354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1
9031005918308822-2,9031005918308822,1647932420,1647932722,0,1647932466,1647932515,C1,30,1,C1,30,1,C1,15.6228647232056,58.417423248291,{}
9031005918308822-2,9031005918308822,1647932420,1647932722,1,1647932521,1647932692,C1,30,1,C1,30,1,C1,15.6228475570679,58.4174385070801,{}
9031005918308823-0,9031005918308823,1647933955,1647934059,0,1647933977,1647934018,C3,-1,-1,-1,-1,-1,-1,15.6235904693604,58.4170112609863,{}
9031005918308823-0,9031005918308823,1647933955,1647934059,1,1647934053,1647934056,-1,-1,-1,-1,-1,-1,-1,15.6221799850464,58.4176788330078,{'zone': True}
9031005918308824-0,9031005918308824,1647929862,1647929987,0,1647929873,1647929914,C5,30,0,C1,-1,-1,-1,15.6242570877075,58.4166793823242,{}
9031005918308824-0,9031005918308824,1647929862,1647929987,1,1647929957,1647929982,-1,-1,-1,-1,-1,-1,-1,15.622163772583,58.4177360534668,{'zone': True}
9031005918308824-1,9031005918308824,1647930814,1647930821,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1
9031005918308824-2,9031005918308824,1647930863,1647930952,0,1647930893,1647930928,-1,30,1,C1,30,1,C1,15.6229200363159,58.417350769043,{}
9031005918308826-0,9031005918308826,1647933562,1647933717,0,1647933589,1647933641,C2,39,0,C1,-1,-1,-1,15.6232891082764,58.4171905517578,{'at_crossing': 'C1'}
9031005918308826-0,9031005918308826,1647933562,1647933717,1,1647933660,1647933698,-1,-1,-1,-1,-1,-1,-1,15.6228065490723,58.4176177978516,{}
9031005918308829-0,9031005918308829,1647929759,1647930077,0,1647929770,1647930018,C3,521,0,C3,521,1,C3,15.6236019134521,58.4170341491699,{}
9031005918308829-0,9031005918308829,1647929759,1647930077,1,1647930043,1647930050,C1,521,1,C3,521,1,C3,15.6227540969849,58.4174499511719,{}
9031005918308830-0,9031005918308830,1647929896,1647929992,0,1647929908,1647929936,B6,39,0,C1,-1,-1,-1,15.6244211196899,58.4167823791504,{}
9031005918308830-0,9031005918308830,1647929896,1647929992,1,1647929970,1647929986,E2,-1,-1,-1,-1,-1,-1,15.6223850250244,58.4178047180176,{}
9031005918308830-1,9031005918308830,1647930679,1647930683,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1
9031005918308830-2,9031005918308830,1647930733,1647930967,0,1647930773,1647930929,C2,520,1,C2,520,1,C2,15.6232385635376,58.417179107666,{'at_crossing': 'C1'}
9031005918308832-0,9031005918308832,1647931048,1647931529,0,1647931068,1647931447,C3,521,0,C3,-1,-1,-1,15.6235771179199,58.4169998168945,{}
9031005918308832-0,9031005918308832,1647931048,1647931529,1,1647931481,1647931526,-1,243,1,B4,243,1,B4,15.6221380233765,58.4176826477051,{'zone': True}
9031005918308832-1,9031005918308832,1647931572,1647931778,0,1647931580,1647931586,-1,243,1,B4,243,1,B4,15.6247415542603,58.4164543151856,{}
9031005918308832-1,9031005918308832,1647931572,1647931778,1,1647931599,1647931607,-1,243,1,B4,243,1,B4,15.6246538162231,58.4165763854981,{'at_crossing': 'B6'}
9031005918308832-1,9031005918308832,1647931572,1647931778,2,1647931627,1647931745,B4,243,1,B4,243,1,B4,15.6237363815308,58.4170799255371,{}
9031005918308837-0,9031005918308837,1647932242,1647932348,0,1647932245,1647932254,-1,521,0,C3,-1,-1,-1,15.6246337890625,58.4164199829102,{}
